PLACEFP,NAME,native_incidents,asian_incidents,black_incidents,hispanic_incidents,pi_incidents,unknown_incidents,white_incidents,total_incidents,poc_incidents,native_incidents_pct,asian_incidents_pct,black_incidents_pct,hispanic_incidents_pct,pi_incidents_pct,unknown_incidents_pct,white_incidents_pct,poc_incidents_pct,total_pop,white_pop,native_pop,pi_pop,black_pop,asian_pop,hispanic_pop,unknown_pop,poc_pop,white_pop_pct,native_pop_pct,pi_pop_pct,black_pop_pct,asian_pop_pct,hispanic_pop_pct,unknown_pop_pct,poc_pop_pct,native_likelihood_vs_white,asian_likelihood_vs_white,black_likelihood_vs_white,hispanic_likelihood_vs_white,pi_likelihood_vs_white,unknown_likelihood_vs_white,poc_likelihood_vs_white
11614,Caruthers,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1683.0,369.0,0.0,0.0,21.0,59.0,1222.0,12.0,1314.0,,,,,,0.7260843731431966,,0.7807486631016043,,,,,,,
11796,Castaic,0,0,0,1,0,0,2,3,1,0.0,0.0,0.0,33.33333333333333,0.0,0.0,66.66666666666666,33.33333333333333,17999.0,7903.0,81.0,0.0,394.0,1844.0,6530.0,1247.0,10096.0,0.4390799488860492,,,,0.1024501361186732,0.3627979332185121,0.069281626757042,0.5609200511139508,,,,,,,
11964,Castro Valley,0,0,2,0,0,1,1,4,3,0.0,0.0,50.0,0.0,0.0,25.0,25.0,75.0,65001.0,21775.0,55.0,182.0,5655.0,21354.0,12866.0,3114.0,43226.0,0.3349948462331348,,,0.0869986615590529,0.3285180227996492,0.1979354163782095,0.0479069552776111,0.6650051537668651,,,,,,,
12048,Cathedral City,0,0,1,3,0,0,0,4,4,0.0,0.0,25.0,75.0,0.0,0.0,0.0,100.0,52267.0,15305.0,128.0,44.0,983.0,2995.0,31543.0,1269.0,36962.0,0.2928233876059464,,,0.0188072780148085,0.0573019304723821,0.6034974266745747,0.0242791818929726,0.7071766123940536,,,,,,,
12524,Ceres,0,0,0,2,0,0,0,2,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,49342.0,10275.0,136.0,126.0,569.0,5150.0,32166.0,920.0,39067.0,0.208240444246281,,,,0.1043735559969194,0.6518989907178468,0.0186453731101293,0.7917595557537189,,,,,,,
12552,Cerritos,0,0,1,1,0,0,1,3,2,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,66.66666666666666,47867.0,5598.0,42.0,163.0,2746.0,29516.0,7659.0,2143.0,42269.0,0.1169490463158334,,,0.0573672885286314,0.616625232414816,0.1600058495414377,0.0447698832180834,0.8830509536841665,,,,,,,
12730,Charleston View,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
12734,Charter Oak,0,1,0,0,0,0,0,1,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,9442.0,2040.0,0.0,44.0,800.0,1346.0,4922.0,290.0,7402.0,0.2160559203558568,,,,0.1425545435289133,0.5212878627409447,,0.7839440796441431,,,,,,,
13014,Chico,0,0,1,1,0,0,4,6,2,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.0,66.66666666666666,33.33333333333333,102188.0,66064.0,565.0,367.0,2278.0,5323.0,20988.0,6603.0,36124.0,0.6464946960504169,0.0055290249344345,,0.022292245664853,0.0520902650017614,0.2053861510157748,0.0646161975965866,0.3535053039495831,0.0,0.0,7.2502194907813875,0.7869258623975605,0.0,0.0,0.9144059351123908
13210,Chino,0,1,1,1,0,2,1,6,5,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0,33.33333333333333,16.666666666666664,83.33333333333334,92652.0,15517.0,167.0,94.0,6884.0,16893.0,50294.0,2803.0,77135.0,0.1674761473038898,,,0.0742995294219228,0.182327418728144,0.5428269222466865,0.0302529896818201,0.8325238526961102,0.0,0.9185461433729948,2.2540674026728644,0.308525867896767,0.0,11.07170888333928,1.005833927529656
13214,Chino Hills,0,0,0,1,0,0,2,3,1,0.0,0.0,0.0,33.33333333333333,0.0,0.0,66.66666666666666,33.33333333333333,77927.0,18567.0,20.0,0.0,3437.0,31710.0,21248.0,2945.0,59360.0,0.2382614498184198,,,0.0441053806767872,0.4069192962644526,0.2726654432994982,0.0377917794859291,0.7617385501815802,,,,,,,
13294,Chowchilla,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,19020.0,6175.0,94.0,35.0,1117.0,1166.0,9574.0,859.0,12845.0,0.32465825446898,,,0.0587276550998948,0.06130389064143,0.5033648790746582,0.0451629863301787,0.67534174553102,,,,,,,
13392,Chula Vista,0,0,2,6,0,1,4,13,9,0.0,0.0,15.384615384615385,46.15384615384615,0.0,7.6923076923076925,30.76923076923077,69.23076923076923,276375.0,42245.0,260.0,712.0,12959.0,39180.0,168934.0,12085.0,234130.0,0.1528539122568973,,,0.0468891904115784,0.1417639077340569,0.6112492085029398,0.0437268204432383,0.8471460877431026,0.0,0.0,1.629948298479821,0.3751021108835403,0.0,0.873913942904427,0.4059763806432324
13588,Citrus Heights,0,0,0,2,0,1,5,8,3,0.0,0.0,0.0,25.0,0.0,12.5,62.5,37.5,86995.0,57059.0,285.0,169.0,3081.0,3069.0,17503.0,5829.0,29936.0,0.6558882694407725,0.0032760503477211,,0.0354158284958905,0.0352778895338812,0.2011954710040807,0.0670038507960227,0.3441117305592275,0.0,0.0,0.0,1.303982174484374,0.0,1.9577629095899811,1.1436197220737574
13756,Claremont,0,0,1,1,0,0,1,3,2,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,66.66666666666666,36595.0,16099.0,15.0,79.0,2508.0,5255.0,10523.0,2116.0,20496.0,0.4399234868151386,,,0.0685339527257822,0.143598852302227,0.2875529443913103,0.0578221068451974,0.5600765131848613,,,,,,,
13854,Clay,0,0,1,0,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,1302.0,761.0,0.0,0.0,0.0,76.0,406.0,59.0,541.0,0.5844854070660522,,,,,,,0.4155145929339477,,,,,,,
13945,Clearlake,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16659.0,8908.0,102.0,0.0,660.0,202.0,5644.0,1143.0,7751.0,0.5347259739480161,,,0.0396182243832162,,0.338795846089201,0.0686115613182063,0.4652740260519839,,,,,,,
